# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   99       3.584424106707e-10       1.020386144912e-13      -3.023966945010e-12       0.000000000000e+00       1.044419940144e-11       1.430223009263e-12      -7.272235405085e-15 
  100       3.626205045424e-10       1.040415468667e-13      -3.113029814978e-12       0.000000000000e+00       1.017312418552e-11       1.400507360825e-12      -7.199266023264e-15 
  101       3.668253021691e-10       1.060252893747e-13      -3.202202520947e-12       0.000000000000e+00       9.910705894273e-12       1.371633562553e-12      -7.129261077177e-15 
  102       3.710567094664e-10       1.079879726779e-13      -3.291417492211e-12       0.000000000000e+00       9.656896721112e-12       1.343602197300e-12      -7.061953981993e-15 
  103       3.753144992549e-10       1.099277144700e-13      -3.380606216011e-12       0.000000000000e+00       9.411577309699e-12       1.316406499957e-12      -6.997031529012e-15 
  104       3.795983058586e-10       1.118426202203e-13      -3.469699260473e-12       0.000000000000e+00       9.174554287030e-12       1.290032097191e-12      -6.934132463067e-15 
  105       3.839076197019e-10       1.137307839180e-13      -3.558626297540e-12       0.000000000000e+00       8.945557796516e-12       1.264456747182e-12      -6.872846059946e-15 
  106       3.882417819078e-10       1.155902888170e-13      -3.647316125910e-12       0.000000000000e+00       8.724239031076e-12       1.239650079360e-12      -6.812710703797e-15 
  107       3.925999788954e-10       1.174192081798e-13      -3.735696693970e-12       0.000000000000e+00       8.510167766220e-12       1.215573334148e-12      -6.753212464545e-15 
  108       3.969812369777e-10       1.192156060225e-13      -3.823695122729e-12       0.000000000000e+00       8.302829893140e-12       1.192179102695e-12      -6.693783675299e-15 
  109       4.013844169593e-10       1.209775378589e-13      -3.911237728758e-12       0.000000000000e+00       8.101624951790e-12       1.169411066620e-12      -6.633801509770e-15 
  110       4.058084060444e-10       1.227030996584e-13      -3.998250554097e-12       0.000000000000e+00       7.906001502496e-12       1.147217026806e-12      -6.572714599291e-15 
  111       4.102527330648e-10       1.243905802432e-13      -4.084660983862e-12       0.000000000000e+00       7.715888223832e-12       1.125590443277e-12      -6.510444353018e-15 
  112       4.147170222439e-10       1.260383298785e-13      -4.170396379547e-12       0.000000000000e+00       7.531313625923e-12       1.104533749198e-12      -6.447032574667e-15 
  113       4.192007995015e-10       1.276447150071e-13      -4.255383618142e-12       0.000000000000e+00       7.352272044278e-12       1.084045408861e-12      -6.382517851760e-15 
  114       4.237034889907e-10       1.292081194676e-13      -4.339549120061e-12       0.000000000000e+00       7.178722527547e-12       1.064119788035e-12      -6.316935391407e-15 
  115       4.282244096347e-10       1.307269457129e-13      -4.422818877051e-12       0.000000000000e+00       7.010587725290e-12       1.044747024305e-12      -6.250316856093e-15 
  116       4.327627716636e-10       1.321996160283e-13      -4.505118480116e-12       0.000000000000e+00       6.847752775742e-12       1.025912897419e-12      -6.182690199466e-15 
  117       4.373176731514e-10       1.336245737501e-13      -4.586373147431e-12       0.000000000000e+00       6.690064193574e-12       1.007598699626e-12      -6.114079502124e-15 
  118       4.418880965530e-10       1.350002844832e-13      -4.666507752261e-12       0.000000000000e+00       6.537328757666e-12       9.897811060261e-13      -6.044504807398e-15 
  119       4.464729052408e-10       1.363252373205e-13      -4.745446850878e-12       0.000000000000e+00       6.389312398864e-12       9.724320449074e-13      -5.973981957145e-15 
  120       4.510708400420e-10       1.375979460603e-13      -4.823114710480e-12       0.000000000000e+00       6.245739087749e-12       9.555185680945e-13      -5.902522427527e-15 
  121       4.556805157751e-10       1.388169504247e-13      -4.899435337107e-12       0.000000000000e+00       6.106289722401e-12       9.390027212896e-13      -5.830133164803e-15 
  122       4.603004177870e-10       1.399808172785e-13      -4.974332503562e-12       0.000000000000e+00       5.970601016165e-12       9.228414144161e-13      -5.756816421115e-15 
  123       4.649290841645e-10       1.410881895777e-13      -5.047730736201e-12       0.000000000000e+00       5.838343900459e-12       9.069965119970e-13      -5.682598420230e-15 
  124       4.695656834493e-10       1.421379369892e-13      -5.119558344220e-12       0.000000000000e+00       5.709471301087e-12       8.914666930361e-13      -5.607619433431e-15 
  125       4.742094970744e-10       1.431290249513e-13      -5.189744792613e-12       0.000000000000e+00       5.583996863386e-12       8.762590239551e-13      -5.532053790431e-15 
  126       4.788597376524e-10       1.440604700705e-13      -5.258219809563e-12       0.000000000000e+00       5.461917505133e-12       8.613790176499e-13      -5.456082038245e-15 
  127       4.835155469735e-10       1.449313417146e-13      -5.324913421906e-12       0.000000000000e+00       5.343212929920e-12       8.468305842437e-13      -5.379891003808e-15 
  128       4.881759940027e-10       1.457407636074e-13      -5.389755990591e-12       0.000000000000e+00       5.227845140526e-12       8.326159818397e-13      -5.303673856588e-15 
  129       4.928400728779e-10       1.464879154219e-13      -5.452678246143e-12       0.000000000000e+00       5.115757952298e-12       8.187357672742e-13      -5.227630171205e-15 
  130       4.975067009077e-10       1.471720343744e-13      -5.513611324123e-12       0.000000000000e+00       5.006876506520e-12       8.051887468688e-13      -5.151965990043e-15 
  131       5.021747165688e-10       1.477924168183e-13      -5.572486800592e-12       0.000000000000e+00       4.901106783795e-12       7.919719271840e-13      -5.076893885869e-15 
  132       5.068428775041e-10       1.483484198381e-13      -5.629236727573e-12       0.000000000000e+00       4.798335117412e-12       7.790804657714e-13      -5.002633024445e-15 
  133       5.115098585204e-10       1.488394628428e-13      -5.683793668512e-12       0.000000000000e+00       4.698427706728e-12       7.665076219270e-13      -4.929409227145e-15 
  134       5.161742495858e-10       1.492650291603e-13      -5.736090733740e-12       0.000000000000e+00       4.601230130540e-12       7.542447074436e-13      -4.857455033574e-15 
  135       5.208345538280e-10       1.496246676308e-13      -5.786061615936e-12       0.000000000000e+00       4.506566860460e-12       7.422810373640e-13      -4.787009764175e-15 
  136       5.254891855316e-10       1.499179942010e-13      -5.833640625587e-12       0.000000000000e+00       4.414240774291e-12       7.306038807335e-13      -4.718319582854e-15 
  137       5.301366069706e-10       1.501447212553e-13      -5.878763352433e-12       0.000000000000e+00       4.324074987114e-12       7.192009952953e-13      -4.651577294600e-15 
  138       5.347757591252e-10       1.503047456640e-13      -5.921368651966e-12       0.000000000000e+00       4.236044260018e-12       7.080686318441e-13      -4.586734574886e-15 
  139       5.394056719461e-10       1.503980729105e-13      -5.961396932688e-12       0.000000000000e+00       4.150156330080e-12       6.972042686376e-13      -4.523670338191e-15 
  140       5.440253284089e-10       1.504247919251e-13      -5.998789587640e-12       0.000000000000e+00       4.066410596750e-12       6.866040692315e-13      -4.462248942654e-15 
  141       5.486336633924e-10       1.503850768542e-13      -6.033489033839e-12       0.000000000000e+00       3.984797903823e-12       6.762628496329e-13      -4.402319870178e-15 
  142       5.532295625580e-10       1.502791888309e-13      -6.065438751713e-12       0.000000000000e+00       3.905300321418e-12       6.661740454541e-13      -4.343717406532e-15 
  143       5.578118612287e-10       1.501074777443e-13      -6.094583324538e-12       0.000000000000e+00       3.827890927947e-12       6.563296790657e-13      -4.286260321450e-15 
  144       5.623793432677e-10       1.498703840098e-13      -6.120868477869e-12       0.000000000000e+00       3.752533592090e-12       6.467203267512e-13      -4.229751548738e-15 
  145       5.669307399575e-10       1.495684403388e-13      -6.144241118980e-12       0.000000000000e+00       3.679182754770e-12       6.373350858594e-13      -4.173977866373e-15 
  146       5.714647288791e-10       1.492022735087e-13      -6.164649376295e-12       0.000000000000e+00       3.607783211125e-12       6.281615419591e-13      -4.118709576604e-15 
  147       5.759799327906e-10       1.487726061325e-13      -6.182042638827e-12       0.000000000000e+00       3.538269892482e-12       6.191857359917e-13      -4.063700186060e-15 
  148       5.804749185063e-10       1.482802584292e-13      -6.196371595609e-12       0.000000000000e+00       3.470567648332e-12       6.103921314258e-13      -4.008686085842e-15 
  149       5.849481957758e-10       1.477261499934e-13      -6.207588275134e-12       0.000000000000e+00       3.404591028303e-12       6.017635814099e-13      -3.953386231636e-15 
  150       5.893982161628e-10       1.471113015651e-13      -6.215646084786e-12       0.000000000000e+00       3.340244064135e-12       5.932812959265e-13      -3.897501823808e-15 
  151       5.938233719239e-10       1.464368367998e-13      -6.220499850276e-12       0.000000000000e+00       3.277420051650e-12       5.849248089457e-13      -3.840715987509e-15 
  152       5.982219948880e-10       1.457039840384e-13      -6.222105855081e-12       0.000000000000e+00       3.216001332731e-12       5.766719455787e-13      -3.782693452774e-15 
  153       6.025924779588e-10       1.449140625152e-13      -6.220422120135e-12       0.000000000000e+00       3.155883622682e-12       5.685039198650e-13      -3.723161909903e-15 
  154       6.069336546890e-10       1.440684358159e-13      -6.215409189175e-12       0.000000000000e+00       3.097051995221e-12       5.604212303639e-13      -3.662165256578e-15 
  155       6.112444530096e-10       1.431685574485e-13      -6.207029491914e-12       0.000000000000e+00       3.039511576495e-12       5.524291861054e-13      -3.599833386448e-15 
  156       6.155237752841e-10       1.422159876928e-13      -6.195247150660e-12       0.000000000000e+00       2.983263542133e-12       5.445329020672e-13      -3.536302724426e-15 
  157       6.197704978119e-10       1.412123952914e-13      -6.180028020969e-12       0.000000000000e+00       2.928305024224e-12       5.367372924592e-13      -3.471716322759e-15 
  158       6.239834703316e-10       1.401595591396e-13      -6.161339732310e-12       0.000000000000e+00       2.874629018304e-12       5.290470640065e-13      -3.406223957099e-15 
  159       6.281615155248e-10       1.390593699770e-13      -6.139151728720e-12       0.000000000000e+00       2.822224290332e-12       5.214667092334e-13      -3.339982222572e-15 
  160       6.323034285196e-10       1.379138320774e-13      -6.113435309466e-12       0.000000000000e+00       2.771075283679e-12       5.140004997466e-13      -3.273154629846e-15 
  161       6.364079763936e-10       1.367250649397e-13      -6.084163669699e-12       0.000000000000e+00       2.721162026106e-12       5.066524795196e-13      -3.205911701206e-15 
  162       6.404738976779e-10       1.354953049785e-13      -6.051311941119e-12       0.000000000000e+00       2.672460036744e-12       4.994264581755e-13      -3.138431066619e-15 
  163       6.444999018603e-10       1.342269072149e-13      -6.014857232629e-12       0.000000000000e+00       2.624940233082e-12       4.923260042713e-13      -3.070897559806e-15 
  164       6.484846688888e-10       1.329223469669e-13      -5.974778670996e-12       0.000000000000e+00       2.578568837945e-12       4.853544385811e-13      -3.003503314310e-15 
  165       6.524268486751e-10       1.315842215402e-13      -5.931057441509e-12       0.000000000000e+00       2.533307286478e-12       4.785148273800e-13      -2.936447859571e-15 
  166       6.563250605981e-10       1.302152519189e-13      -5.883676828638e-12       0.000000000000e+00       2.489112133127e-12       4.718099757277e-13      -2.869938216989e-15 
  167       6.601778930073e-10       1.288182844558e-13      -5.832622256694e-12       0.000000000000e+00       2.445934958619e-12       4.652424207521e-13      -2.804188995997e-15 
  168       6.639839027264e-10       1.273962925635e-13      -5.777881330484e-12       0.000000000000e+00       2.403722276951e-12       4.588144249328e-13      -2.739422490134e-15 
  169       6.677416145567e-10       1.259523784048e-13      -5.719443875977e-12       0.000000000000e+00       2.362415442364e-12       4.525279693851e-13      -2.675868773109e-15 
  170       6.714495207804e-10       1.244897745834e-13      -5.657301980954e-12       0.000000000000e+00       2.321950556330e-12       4.463847471433e-13      -2.613765794875e-15 
  171       6.751061795878e-10       1.230117483828e-13      -5.591449315854e-12       0.000000000000e+00       2.282271396162e-12       4.403856847486e-13      -2.553308495360e-15 
  172       6.787105206056e-10       1.215213019848e-13      -5.521878947615e-12       0.000000000000e+00       2.243369605279e-12       4.345294763089e-13      -2.494491183254e-15 
  173       6.822615640112e-10       1.200214503777e-13      -5.448585420610e-12       0.000000000000e+00       2.205247691407e-12       4.288139137683e-13      -2.437252137495e-15 
  174       6.857583238097e-10       1.185153178424e-13      -5.371565497495e-12       0.000000000000e+00       2.167906267002e-12       4.232363390243e-13      -2.381523295506e-15 
